Country,ISO3,HIVPrevalence,HIVDeathRate,GDPPerCap,CivilWarLag
Barbados,BRB,1.2,.2835024,25479.139,0
Belize,BLZ,2.0999999,.31329235,9526.8896,0
"Bahamas, The",BHS,3,.20132449,25179.799,0
Guyana,GUY,2.5,.54160315,2447.6357,0
Djibouti,DJI,3.0999999,.42598099,4273.8481,0
Swaziland,SWZ,26.1,.3338587,7298.8828,0
Gabon,GAB,5.9000001,.29306558,7859.1191,0
Estonia,EST,1.3,.28666875,18883.135,0
Guinea-Bissau,GNB,1.8,.36061135,622.61377,0
Botswana,BWA,23.9,.24462812,9404.2295,0
Lesotho,LSO,23.200001,.38680431,2334.8213,0
Slovenia,SVN,.050000001,.99102032,26205.932,0
Namibia,NAM,15.3,.16024999,6395.4185,0
Latvia,LVA,.80000001,.27459252,14923.762,0
Jamaica,JAM,1.6,.35036251,8221.4521,0
Armenia,ARM,.1,.66463691,9555.9541,0
Mauritania,MRT,.80000001,.40051511,2300.322,0
Uruguay,URY,.60000002,.25070903,12922.588,0
Panama,PAN,1,.29934698,9139.6592,0
Lithuania,LTU,.1,.59248406,14564.954,0
Liberia,LBR,1.7,.36429432,385.67368,0
"Congo, Rep.",COG,3.5,.4854506,3339.0579,0
Moldova,MDA,.40000001,.065725408,3485.4646,0
Lebanon,LBN,.1,.48815301,7736.7554,0
Central African Republic,CAF,6.3000002,.40199608,863.64221,0
Ireland,IRL,.2,.11451624,41624.5,0
Costa Rica,CRI,.40000001,.11205254,11830.273,0
Singapore,SGP,.2,.21793139,44618.949,0
Eritrea,ERI,1.3,.4130719,593.29987,0
Kyrgyz Republic,KGZ,.1,.38205853,3570.2881,0
Nicaragua,NIC,.2,.44606245,2176.3594,0
Sierra Leone,SLE,1.7,.33192033,1883.806,0
Lao PDR,LAO,.2,.085325822,2282.4348,0
Paraguay,PRY,.60000002,.27230909,4713.9858,0
Papua New Guinea,PNG,1.5,.10541689,2206.375,0
Togo,TGO,3.3,.4190419,868.35297,0
Tajikistan,TJK,.30000001,.2472768,2832.7334,0
El Salvador,SLV,.80000001,.31007668,5589.3145,0
Honduras,HND,.69999999,.38209003,3692.8218,0
Israel,ISR,.1,.27854764,24054.961,1
Switzerland,CHE,.60000002,.11037415,37301.508,0
Burundi,BDI,2,.64736992,643.57819,1
Azerbaijan,AZE,.2,.058435936,10295.873,0
Somalia,SOM,.5,.36798835,462.50906,0
Benin,BEN,1.2,.30469558,1411.7765,0
Sweden,SWE,.1,.10931242,32961.996,0
Guinea,GIN,1.6,.2998338,3584.5132,0
Bolivia,BOL,.2,.26267299,3779.3499,0
Haiti,HTI,2.2,.34049928,1581.1815,0
Belarus,BLR,.2,.56689346,22585.324,0
Dominican Republic,DOM,1.1,.38324469,9665.1025,0
Rwanda,RWA,2.8,.28613862,1135.4843,0
Tunisia,TUN,.1,.19559138,10121.65,0
Portugal,PRT,.5,.094265506,20126.777,0
Belgium,BEL,.2,.047055725,33797.531,0
Chad,TCD,3.5,.37162155,2438.9805,1
Greece,GRC,.2,.044669315,27718.164,0
Cuba,CUB,.1,.088833503,11130.562,0
Zambia,ZMB,15.2,.30908147,1978.4299,0
Mali,MLI,1.5,.3134923,1272.5992,0
Senegal,SEN,1,.14503153,1901.2302,0
Ecuador,ECU,.30000001,.34983608,6025.3726,0
Guatemala,GTM,.80000001,.36521715,6094.9854,0
Zimbabwe,ZWE,15.3,.6827246,1894.3606,0
Malawi,MWI,11.9,.4105072,1254.5896,0
Niger,NER,.80000001,.35223457,859.97729,0
Cambodia,KHM,.80000001,.59704876,2823.5276,0
Burkina Faso,BFA,1.6,.38910687,1381.8655,0
Kazakhstan,KAZ,.1,.3229098,15057.702,0
Netherlands,NLD,.2,.061045822,34392.336,0
Chile,CHL,.30000001,.22095545,18381.162,0
Angola,AGO,2.0999999,.30905637,5116.4756,0
Cameroon,CMR,5.0999999,.41262299,2602.2566,0
Cote d'Ivoire,CIV,3.9000001,.50567967,2228.1787,0
Madagascar,MDG,.1,.50838959,856.34662,0
Australia,AUS,.2,.023792529,36312.305,0
Mozambique,MOZ,12.5,.30319759,2218.6624,0
Ghana,GHA,1.9,.4710961,1652.1993,0
Malaysia,MYS,.5,.29379067,17890.977,0
Uzbekistan,UZB,.1,.18609637,2083.0938,0
Peru,PER,.5,.23657456,6401.251,0
Nepal,NPL,.5,.35577577,1932.3533,1
Morocco,MAR,.1,.32403782,5419.7759,0
Uganda,UGA,5.4000001,.46122482,1170.9518,1
Canada,CAN,.40000001,.037906356,36168.289,0
Algeria,DZA,.1,.29539761,6421.2446,1
Poland,POL,.1,.052465126,14485.174,0
Sudan,SDN,1.4,.46315342,2275.1147,1
Argentina,ARG,.5,.35439926,15274.676,0
Tanzania,TZA,6.1999998,.38295925,921.80231,0
Colombia,COL,.60000002,.3713218,7793.2114,1
Spain,ESP,.5,.10249796,31445.547,0
Ukraine,UKR,1.6,.25532499,9870.4404,0
South Africa,ZAF,18.1,.40411144,10484.088,0
"Korea, Rep.",KOR,.050000001,.20637278,23849.619,0
Italy,ITA,.40000001,.080000408,28815.244,0
United Kingdom,GBR,.2,.040982708,32181.119,0
France,FRA,.40000001,.064822383,29633.25,0
Thailand,THA,1.4,.33570194,9405.6846,1
"Iran, Islamic Rep.",IRN,.2,.30272719,10414.055,1
Ethiopia,ETH,2.0999999,.40341404,1110.3313,1
Germany,DEU,.1,.060776707,31306.256,0
Vietnam,VNM,.5,.56367868,3742.9807,0
Mexico,MEX,.30000001,.34827587,11203.817,0
Russian Federation,RUS,1.1,.25590175,13406.342,1
Nigeria,NGA,3.0999999,.37057453,2526.928,0
Pakistan,PAK,.1,.31388208,3588.3582,1
Brazil,BRA,.60000002,.13047928,9645.5273,0
Indonesia,IDN,.2,.19279346,5185.519,0
United States,USA,.60000002,.12156536,42886.918,0
China,CHN,.1,.29583338,7868.2832,0
