cases,trade,tradebal,central
2,14.9666,-.54460001,0
0,.81529999,-.029300001,0
0,.8901,-.023700001,0
0,.99679995,-.0288,0
0,1.1531,-.032900002,0
0,1.2896,-.0108,0
0,1.4014001,-.035,0
5,1.4208,-.0144,0
1,1.6496999,-.016899999,0
4,2.0053999,.0076000001,0
4,2.2971001,.024700001,0
1,2.5247998,-.046399999,0
5,3.164,.066200003,0
8,4.4380999,.053100001,0
5,5.8203001,-.1547,0
7,5.9580998,-.19769999,0
11,6.7772999,-.2211,0
16,7.7947001,-.28690001,0
7,9.3780003,-.36759999,0
13,11.6656,-.41479999,0
14,13.621901,-.71969998,0
12,11.8155,-.67729998,0
10,11.0375,-.56129998,0
9,9.3139992,-.1816,0
13,9.3644009,-.1218,0
13,9.5144005,-.047200002,0
13,11.9354,.055599999,0
15,15.2356,-.017999999,0
30,16.9769,.1223,0
13,18.1968,.2278,0
17,21.870499,.1671,0
19,21.3981,.1999,0
16,22.998199,.37,0
22,20.6824,.57800001,0
19,23.882801,.69300002,0
14,30.7062,.88139999,0
0,1.4051,-.15530001,1
0,1.7644999,-.2209,1
1,1.908,-.1656,1
0,2.1542001,-.3312,1
1,2.3330002,-.31999999,1
3,2.6690001,-.2924,1
1,3.3097,-.3705,1
2,3.6089001,-.25909999,1
1,3.3670001,-.148,1
1,3.2172,-.15539999,1
4,3.2184,.023600001,1
2,3.2364001,-.0206,1
0,3.5009999,-.076399997,1
4,4.3663998,-.105,1
5,5.0594997,.079499997,1
4,5.3190999,.1883,1
2,5.5032001,.24240001,1
5,6.7269001,.48750001,1
2,6.8817997,.47479999,1
3,7.4096003,.72039998,1
7,6.6142998,.79970002,1
4,7.6085,.74690002,1
8,9.0881004,.6825,0
0,6.7620001,1.2534,0
0,1.3888,.053199999,1
0,1.4878,-.0156,1
0,1.6809,-.064499997,1
0,1.9061999,-.1076,1
2,2.039,-.0288,1
0,2.2732,-.095399998,1
3,2.3761001,-.1001,1
1,2.6599,-.12549999,1
1,3.2094998,-.2343,1
2,3.6661,-.1183,1
5,4.1556997,-.071699999,1
1,5.2563,-.0867,1
4,7.2551999,-.14219999,1
6,9.9169006,-.66589999,1
15,10.7082,-.084600002,1
8,12.1553,-.72289997,1
14,13.5494,-.55000001,1
12,16.1173,-.24169999,1
18,20.8559,-.54570001,1
14,25.089001,-1.8858,1
17,22.737801,-1.4528,1
39,21.239601,-1.902,1
15,18.816601,-.87540001,1
34,18.9079,-.46509999,1
45,19.713001,-.52759999,1
19,24.080101,-.20810001,1
36,29.198299,-.86669999,1
38,32.891403,-.8538,1
28,35.467697,-1.0305001,1
21,43.111801,-1.3254,1
29,42.805801,-.97140002,1
15,45.251297,.23710001,1
22,39.057198,.75160003,1
36,44.240303,.70490003,1
43,52.962502,1.1174999,0
0,2.3628001,.17460001,0
0,2.5544,.098399997,0
0,2.7635,.15970001,0
0,3.0827999,.1602,0
4,3.5363998,.041999999,0
0,3.8157001,.2111,0
11,3.9087,.43849999,0
4,4.5712004,.46919999,0
11,5.4933996,.42860001,0
21,6.5208998,.44890001,0
28,7.4763999,.47499999,0
20,8.7617998,.66140002,0
37,12.407,1.3072,0
15,16.083099,2.0349,0
26,16.508999,1.5242,0
28,19.0186,1.3767999,0
30,21.9566,1.6616,0
46,26.4207,2.0699,0
33,33.159798,1.2176,0
24,38.083401,.4964,0
41,34.000397,1.2176,0
36,33.1805,2.1064999,0
36,29.837999,2.142,0
38,30.047001,2.2290001,0
40,31.881001,2.8510001,0
18,40.633003,5.573,0
32,48.631001,6.987,0
34,53.696999,7.941,0
47,57.225002,7.671,0
34,75.279999,6.9039998,0
54,78.682007,1.992,0
62,83.173996,2.872,0
57,82.322006,14.176,0
44,80.886002,5.1680002,0
51,98.031998,6.612,0
0,1.3058,-.4562,1
0,1.4324,-.57279998,1
0,1.2506,-.4294,1
0,1.3018,-.42300001,1
0,1.3638999,-.50529999,1
2,1.3449,-.44229999,1
17,1.6724,-.55000001,1
0,1.7938,-.60720003,1
2,1.9475,-.73269999,1
2,2.3021998,-1.0106,1
3,2.3843999,-1.0022,1
1,2.3713,-1.1561,1
5,2.0723,-1.0499001,1
0,2.1949,-1.1273,1
10,2.6261001,-1.4425,0
0,.4921,-.065899998,1
0,.64419997,-.1182,1
0,.69700003,-.058600001,1
