country,isocode,ccode,HALE,GDPPerCap,Openness,UNEducation,BattleDeathsLag,RefugeesLag
Albania,ALB,339,61.400002,4431.2329,65.643875,.88999999,0,.085506335
United Arab Emirates,ARE,696,63.900002,32600.061,132.78026,.74000001,0,.24529955
Argentina,ARG,160,65.300003,10797.228,19.364267,.95999998,0,.06261231
Armenia,ARM,371,61,4613.7065,83.461037,.89999998,0,79.367004
Australia,AUS,900,72.599998,28574.951,44.412258,.99000001,0,2.9674091
Austria,AUT,305,71.400002,28776.68,95.30912,.95999998,0,1.7716248
Azerbaijan,AZE,373,57.200001,4069.4324,102.34306,.88,0,.051291935
Burundi,BDI,516,35.099998,782.4621,38.408562,.44999999,18.842798,4.6771846
Belgium,BEL,211,71.099998,26339.627,164.56737,.99000001,0,1.1876805
Benin,BEN,434,44,1307.4907,55.677124,.44,0,.70228881
Burkina Faso,BFA,439,35.599998,1139.1377,49.257446,.16,0,.038800258
Bangladesh,BGD,771,54.299999,2094.8357,32.078346,.44999999,0,.16364826
Bulgaria,BGR,355,64.800003,8328.3154,130.33012,.91000003,0,.39155295
Bahrain,BHR,692,64.300003,18482.975,168.21051,.85000002,0,0
Bosnia and Herzegovina,BIH,346,64.300003,3353.1016,69.190689,.83999997,0,8.248436
Belarus,BLR,370,60.700001,12324.104,149.56061,.94999999,0,.058053009
Bolivia,BOL,145,54.400002,3110.0061,48.104111,.86000001,0,.035523415
Brazil,BRA,140,59.799999,7262.3467,23.841539,.88,0,.016118793
Botswana,BWA,571,35.700001,8003.8481,88.913445,.75999999,0,2.2792945
Central African Republic,CAF,482,37.400002,939.15991,22.786428,.43000001,1.6845841,13.579014
Canada,CAN,20,72,28187.846,80.315048,.98000002,0,4.1262794
Switzerland,CHE,225,73.199997,30566.18,84.677353,.94999999,0,8.1137609
Chile,CHL,155,67.300003,12212.68,61.928989,.89999998,0,.025808234
China,CHN,710,64.099998,4847.355,48.576515,.82999998,0,.23085447
Cote d`Ivoire,CIV,437,39.5,2616.1084,70.366028,.47,0,7.603466
Cameroon,CMR,471,41.5,2728.3472,49.687016,.63999999,0,2.670464
"Congo, Republic of",COG,484,46.299999,1528.3666,124.76132,.70999998,0,40.955307
Colombia,COL,100,62,6234.9253,40.514957,.83999997,3.8166628,.0048770704
Costa Rica,CRI,94,67.199997,8387.7744,94.093025,.87,0,2.1121614
Cuba,CUB,40,68.300003,6312.8887,28.659571,.91000003,0,.089070998
Cyprus,CYP,352,67.599998,22762.813,105.36134,.88999999,0,.13032474
Czech Republic,CZE,316,68.400002,15480.856,147.66307,.92000002,0,.11711647
Djibouti,DJI,522,42.900002,4623.8403,106.88564,.51999998,0,51.85331
Denmark,DNK,390,69.800003,29019.588,93.482788,.98000002,0,13.626771
Algeria,DZA,615,60.599998,5639.3618,66.850868,.69,5.1991343,5.2481661
Ecuador,ECU,130,61.900002,4403.9033,76.670227,.85000002,0,.12641761
Egypt,EGY,651,59,4894.4082,36.547657,.62,0,.098209634
Eritrea,ERI,531,50,605.4444,91.008995,.49000001,0,.53419089
Spain,ESP,230,72.599998,21573.516,61.656399,.97000003,0,.16342182
Estonia,EST,366,64.099998,13266.03,165.6165,.98000002,0,0
Finland,FIN,375,71.099998,24081.043,76.136803,.99000001,0,2.4398117
France,FRA,220,72,26928.969,56.772724,.95999998,0,2.2022717
Gabon,GAB,481,51.400002,9143.8633,103.15106,.72000003,0,12.109648
United Kingdom,GBR,200,70.599998,26830.5,59.364727,.99000001,0,3.9505982
Georgia,GEO,372,64.400002,4409.9316,71.362831,.88999999,0,1.5924366
Germany,GER,255,71.800003,26489.762,69.331207,.94999999,0,10.944485
Ghana,GHA,452,49.799999,1600.6392,89.967995,.64999998,0,.58522606
