"","Asian-Americans","Hispanics","Blacks","Illegal Immigrants","Whites","Dem. Pres. Candidate","GOP Pres. Candidate","Libertarian Pres. Candidate","Green Pres. Candidate","Dem. VP","GOP VP","John Roberts","Pope Francis","Christian Fundamentalists","Feminists","Liberals","Labor Unions","Poor People","Big Business","Conservatives","SCOTUS","Gays & Lesbians","Congress","Rich People","Muslims","Christians","Jews","Tea Party","Police","Transgender People","Scientists","BLM"
"5",85,85,85,50,85,30,15,40,70,50,40,50,100,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15
"6",50,50,50,25,50,0,65,50,50,30,80,50,85,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0
"8",85,100,85,40,100,15,85,15,50,30,85,50,50,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15
"9",70,85,60,0,100,0,70,50,50,15,60,50,50,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15
"13",100,100,100,85,100,40,40,50,50,50,15,85,85,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70
"14",60,60,85,15,85,0,100,50,50,0,85,85,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0
"17",85,85,70,70,70,85,15,40,70,85,30,60,85,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85
"19",100,100,100,85,85,85,0,50,70,70,0,40,85,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100
"29",100,100,100,100,90,85,0,40,50,85,30,30,60,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85
"33",100,100,100,85,100,0,100,50,50,15,85,50,50,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50
"34",60,60,60,60,60,0,100,15,15,0,100,60,85,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0
"36",50,60,50,30,60,60,15,40,50,50,15,70,85,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40
"39",50,70,60,50,70,70,85,50,50,60,50,50,50,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70
"43",85,85,85,0,85,100,0,0,0,100,0,0,100,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100
"44",50,60,85,0,100,0,100,0,50,0,100,85,100,100,50,0,85,85,100,100,50,50,100,85,0,100,100,0,100,50,100,0
"45",80,80,80,15,80,0,60,50,50,10,80,50,70,20,10,5,60,80,5,60,75,90,5,80,80,80,80,50,90,80,90,2
"46",70,70,70,60,70,85,0,50,50,100,0,50,85,15,85,70,60,70,70,40,70,70,70,70,70,70,70,0,60,70,70,70
"47",85,100,50,100,85,30,15,50,50,50,50,50,100,85,70,50,100,100,85,85,85,85,60,50,50,100,70,50,85,85,70,50
"48",70,85,40,0,70,0,70,50,50,40,85,60,50,30,40,40,85,85,30,40,60,30,15,50,50,100,50,70,100,40,70,15
"57",0,0,0,0,0,85,60,30,70,85,60,100,15,85,100,60,0,0,70,15,60,40,100,100,50,85,30,85,40,50,15,50
"59",85,85,85,70,85,70,15,40,50,70,50,50,70,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70
"62",50,50,70,50,70,100,50,50,50,50,50,50,50,50,50,50,85,85,85,50,70,50,85,70,50,100,70,50,85,50,70,75
"67",100,85,100,85,85,85,15,40,40,85,15,30,70,15,85,85,70,85,50,40,70,100,40,40,85,70,85,40,85,100,85,85
"70",85,85,75,75,85,70,10,40,40,60,15,50,85,30,85,80,70,100,40,60,85,80,40,50,80,60,100,30,60,85,100,85
"71",50,50,40,50,50,85,0,50,50,50,40,50,50,50,50,50,50,50,50,50,50,50,15,50,40,50,50,50,40,50,50,50
"72",50,50,70,60,60,70,30,50,50,70,50,50,85,50,60,70,50,85,15,60,85,0,60,50,50,70,50,0,85,0,100,60
"74",100,100,85,100,85,70,0,50,60,40,0,60,85,30,100,100,70,100,30,30,40,100,50,50,100,50,100,60,85,100,100,100
"77",50,50,50,0,50,15,85,60,50,50,85,50,60,70,30,30,50,50,15,85,40,70,70,50,50,100,50,50,100,70,50,85
"78",90,85,90,60,65,50,40,40,70,30,0,100,85,15,85,60,60,100,30,85,70,85,60,50,85,70,85,15,85,100,70,70
"83",30,70,70,50,70,50,0,50,60,60,15,70,70,60,40,60,70,70,30,60,70,30,50,40,70,70,70,50,50,15,70,60
"87",85,85,85,60,85,30,0,60,50,70,60,50,100,50,60,70,30,70,30,50,60,85,15,50,60,100,85,40,85,85,85,70
"88",85,85,85,40,85,15,60,40,85,40,60,40,40,70,40,60,70,85,40,60,70,85,40,70,70,85,85,70,70,85,70,40
"89",100,100,70,50,100,0,100,60,40,40,85,85,100,70,60,40,50,50,85,70,85,50,50,100,50,100,100,70,70,50,60,30
"94",50,50,50,50,85,100,30,50,50,50,40,50,50,100,50,100,50,50,50,40,50,85,50,85,50,100,50,15,100,50,100,50
"96",50,70,70,40,70,60,50,30,50,60,50,50,70,50,50,60,30,70,40,60,60,50,40,50,50,70,60,50,70,40,70,50
"101",85,85,85,60,85,100,15,40,40,50,70,50,50,30,70,70,60,60,40,30,60,70,40,40,60,50,70,15,60,70,70,40
"104",100,100,100,80,100,95,0,45,95,95,0,50,100,35,95,90,50,100,15,40,60,100,65,50,100,50,80,0,95,100,100,95
"108",85,85,85,40,85,85,0,50,50,60,15,50,85,40,85,70,85,85,70,60,70,85,50,70,70,70,85,40,85,85,85,85
"110",50,85,50,70,50,40,40,70,50,70,40,50,70,70,30,30,60,60,50,60,70,15,60,50,50,100,50,40,100,15,50,70
"112",50,70,60,70,85,40,70,40,40,50,60,50,100,70,60,70,60,70,60,60,60,50,40,60,60,85,85,70,70,50,85,50
"113",50,40,50,15,70,15,50,50,50,50,60,70,70,40,50,30,30,60,40,60,60,50,30,50,40,85,50,15,60,50,70,30
"114",50,70,50,50,50,50,50,50,50,50,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,60,50,50,50,50,60,50
"118",70,70,70,70,70,85,15,40,70,60,30,50,40,50,85,70,100,100,70,60,85,85,70,85,85,85,85,50,100,70,100,85
"123",70,70,60,30,70,15,60,70,40,50,50,60,60,40,50,40,50,60,60,40,60,70,40,60,50,50,50,60,85,50,85,50
"125",70,60,60,0,85,0,85,30,0,0,85,60,15,70,0,0,40,50,70,85,60,0,40,60,0,85,85,70,100,0,60,0
